OTU	L.CC14.1	L.CC14.2	L.CC14.3	L.CC15.1	L.CC15.2	L.CC15.3	L.CC11.1	L.CC11.2	L.CC11.3	L.CC18.1	L.CC18.2	L.CC18.3	L.CC7.1	L.CC7.2	L.CC7.3	L.CC13.1	L.CC13.2	L.CC13.3	L.CC6.1	L.CC6.2	L.CC6.3	L.CC16.1	L.CC16.2	L.CC16.3	L.CC5.1	L.CC5.2	L.CC5.3	L.CC9.1	L.CC9.2	L.CC9.3	L.CC8.1	L.CC8.2	L.CC8.3	L.CC17.1	L.CC17.2	L.CC17.3	L.CC19.1	L.CC19.2	L.CC19.3	L.CC3.1	L.CC3.2	L.CC3.3	L.CC10.1	L.CC10.2	L.CC10.3
Zotu3072	32	0	5	64	0	18	25	26	43	0	0	38	0	0	0	0	0	0	0	0	0	0	0	9	0	3	0	0	0	0	0	0	0	0	0	0	0	0	82	0	35	0	0	0	0
Zotu3073	4	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	25	6	45	3	0	0	15	0	4	0	0	0	0	0	56	68	35	50	0	0	0
Zotu3074	3	3	17	11	11	31	4	0	0	0	5	71	32	0	5	42	57	26	3	65	0	0	0	0	3	18	5	0	0	0	0	0	15	0	0	0	7	0	0	12	0	0	0	8	0
Zotu3075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	82	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	113	131	97	0	0	0	0	0	0	0	0	0
Zotu3077	0	112	0	0	0	0	0	0	0	0	0	86	60	0	0	0	0	0	0	0	0	11	0	0	55	17	31	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	30	0	0
Zotu3078	0	22	39	21	0	0	0	0	0	0	0	0	24	18	46	0	3	0	137	0	31	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	34	7	37	5	0	0	0	0	0
Zotu3079	0	5	0	0	0	0	26	0	6	74	26	28	0	0	0	3	0	0	15	0	0	0	0	0	0	27	36	0	0	0	0	27	24	0	0	3	0	0	0	5	42	27	0	0	0
Zotu308	61	189	125	0	0	0	0	0	0	0	0	0	0	67	11	0	0	0	599	464	336	7	58	0	124	245	263	0	0	0	0	0	0	0	52	85	11	0	16	0	0	0	108	282	205
Zotu3080	32	23	9	9	0	14	11	24	13	0	0	0	42	9	13	8	0	4	0	4	0	0	16	0	0	9	9	0	0	0	26	14	36	0	0	0	0	4	27	7	9	0	0	0	0
Zotu3081	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	68	97	63	0	6	0	0	0	0	9	0	22	66	0	0	28	0	0	11	0	5	4	6	0
Zotu3082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	7	0	0	0	0	0	0	0	0	0	0	0	0	101	140	191	0	0	0
Zotu3083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	79	146	0	0	0	31	32	37	0	0	0	0	0	0	11	0	3	0	0	0
Zotu3084	0	0	0	76	24	0	0	0	0	58	114	28	0	0	0	53	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	16	50	0	0	0	10	18	133	0	151	0	0	0	0	0	0	0	0	0	0
Zotu3086	10	0	0	3	0	47	0	0	0	72	0	6	0	0	0	0	37	57	0	0	0	0	0	0	0	0	114	0	0	0	8	0	31	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	83	0	0	32	0	0	0	0	103	5	52	0	0	0	7	0	0	69	31	66	0	0	0
Zotu3088	0	4	0	6	10	0	0	0	0	60	87	10	0	0	0	97	37	41	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	16	9	0	0	16	0	0	0	0
Zotu3089	0	0	0	4	0	0	0	0	0	0	7	0	0	0	0	14	0	0	0	0	0	83	195	63	0	0	0	0	0	12	0	0	0	0	0	8	0	0	0	0	0	8	0	0	0
Zotu309	130	41	30	27	0	42	76	31	22	37	0	21	86	69	38	3	33	81	224	621	153	72	63	79	15	33	113	0	0	0	73	76	0	24	116	156	9	40	64	43	123	29	98	31	192
Zotu3091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	92	140
Zotu3092	0	17	54	71	0	68	0	0	0	0	12	62	0	0	0	33	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	23	0	0	41	0	0	0	0
