OTU	Z.CC14.1	Z.CC14.2	Z.CC14.3	Z.CC15.1	Z.CC15.2	Z.CC15.3	Z.CC11.1	Z.CC11.2	Z.CC11.3	Z.CC18.1	Z.CC18.2	Z.CC18.3	Z.CC7.1	Z.CC7.2	Z.CC7.3	Z.CC13.1	Z.CC13.2	Z.CC13.3	Z.CC6.1	Z.CC6.2	Z.CC6.3	Z.CC16.1	Z.CC16.2	Z.CC16.3	Z.CC5.1	Z.CC5.2	Z.CC5.3	Z.CC9.1	Z.CC9.2	Z.CC9.3	Z.CC8.1	Z.CC8.2	Z.CC8.3	Z.CC17.1	Z.CC17.2	Z.CC17.3	Z.CC19.1	Z.CC19.2	Z.CC19.3	Z.CC3.1	Z.CC3.2	Z.CC3.3	Z.CC10.1	Z.CC10.2	Z.CC10.3
Zotu10179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	22	9	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1019	32	46	0	0	3	7	69	31	20	3	36	74	65	51	24	0	13	0	12	112	47	154	17	30	15	14	11	0	0	0	25	32	34	0	0	21	0	10	7	29	23	5	0	0	0
Zotu10196	0	17	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu102	410	386	30	798	339	583	490	172	568	558	559	1062	37	34	97	870	364	515	44	198	54	365	223	98	264	396	331	0	0	0	392	294	221	138	197	163	314	376	201	350	505	604	48	88	19
Zotu1020	39	86	0	3	0	20	0	0	0	24	20	117	0	8	0	67	98	68	6	0	42	206	6	94	5	0	17	0	0	0	0	83	30	0	0	0	0	5	0	28	6	13	0	0	0
Zotu10201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Zotu10203	7	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10205	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0
Zotu10206	19	0	0	0	0	0	0	0	0	0	8	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10207	0	3	0	0	7	0	0	0	0	0	0	0	20	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0
