phylum	PUA	PUA	PUA	PUA	PUE	PUE	PUE	PUE	CT	CT	CT	CT	CU	CU	CU	CU	PT	PT	PT	PT
Arthropoda	0	35.33333333	17.66666667	53	59.33333333	58.66666667	2.333333333	120.3333333	13	5.333333333	35.33333333	53.66666666	0	0	0	0	60.66666667	0	12	72.66666667
Arthropoda	3.333333333	0	0	3.333333333	0	4.333333333	0	4.333333333	0	2	8	10	0	0	0	0	0	0	0	0
Arthropoda	0	0	0	0	8	4.333333333	0	12.33333333	0	0	0	0	3.666666667	0	0	3.666666667	0	0	0	0
Arthropoda	0	0	0	0	0	0	2.333333333	2.333333333	0	0	0	0	0	16.33333333	0	16.33333333	1.666666667	0	0	1.666666667
Arthropoda	0	13	44.66666667	57.66666667	0	31	2.666666667	33.66666667	20.33333333	47.33333333	37.33333333	105	34.33333333	0	0	34.33333333	26.66666667	20.66666667	9.666666667	57.00000001
Arthropoda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.33333333	1	17.33333333
Arthropoda	0	0	0	0	0	0	0	0	0	0	0	0	21.33333333	0	0	21.33333333	0	0	0	0
Arthropoda	0	0	17.66666667	17.66666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	35.33333333	280	201	516.3333333	132.3333333	187.6666667	78	398	285.6666667	193	365	843.6666667	138	53.66666667	0	191.6666667	248	17	312.3333333	577.3333333
Arthropoda	0	8	5.333333333	13.33333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1.666666667	14.66666667
Arthropoda	0	0	0	0	10.66666667	0	0	10.66666667	0	0	0	0	0	0	0	0	6.333333333	0	0	6.333333333
Arthropoda	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	11.66666667	11.66666667
Arthropoda	56	27.66666667	44.33333333	128	0	2.666666667	61.33333333	64	14.66666667	14.66666667	0	29.33333334	32.66666667	7.666666667	13.33333333	53.66666667	14.33333333	40.66666667	5.666666667	60.66666667
Arthropoda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	14
Arthropoda	0	1.333333333	0	1.333333333	0	0	13.66666667	13.66666667	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	0	0	0	0	0	4	0	4	0	0	13.66666667	13.66666667	2	0	0	2	0	0	0	0
Arthropoda	0	2.333333333	0	2.333333333	11.33333333	0	2	13.33333333	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	0	0	0	0	0	0	0	0	0	465.6666667	0	465.6666667	0	0	0	0	0	0	0	0
Arthropoda	0	1.333333333	8.666666667	10	0	0	0	0	3	0	0	3	1.333333333	0	0	1.333333333	0	0	0	0
Arthropoda	0	29.66666667	43.66666667	73.33333334	0	0	1.333333333	1.333333333	41.33333333	93.66666667	38.33333333	173.3333333	0	8.666666667	0	8.666666667	7	0	0	7
Arthropoda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.66666667	22.66666667
Arthropoda	0	0	0	0	0	7.666666667	0	7.666666667	0	0	0	0	0	0	0	0	4.333333333	0	0	4.333333333
